categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;13:02:20;14;PALERMO;SOLER;5951;-34.5779956473302;-58.4361404199316;App BA 147;Femenino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;01:45:34;14;PALERMO;FITZ ROY;1650;-34.5845342261599;-58.4368269247088;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;09:26:13;14;PALERMO;GUATEMALA;4892;-34.5850056815933;-58.4262198591354;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;12:56:13;14;PALERMO;OLLEROS AV.;1695;-34.5642549719215;-58.4374578532317;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;18:37:39;14;PALERMO;COSTA RICA;5877;-34.5804943228922;-58.437364900572;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;20:34:26;14;PALERMO;AREVALO;2160;-34.5773449513344;-58.4363795731293;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;23:48:22;14;PALERMO;MALABIA;2490;-34.5844978277935;-58.4174051334013;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;08:23:16;14;PALERMO;RAVIGNANI, EMILIO, DR.;1457;-34.5839630560806;-58.441838111151;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;08:24:32;14;PALERMO;RAVIGNANI, EMILIO, DR.;1457;-34.5839630560806;-58.441838111151;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;11:25:35;14;PALERMO;VILLANUEVA;1335;-34.5655526443463;-58.4425172847951;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;13:56:09;14;PALERMO;THAMES;2128;-34.5845831661917;-58.4260447353497;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;15:13:02;14;PALERMO;CABRERA, JOSE A.;5999;-34.5826972064388;-58.4421270076622;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;17:32:19;14;PALERMO;DEL LIBERTADOR AV.;4918;-34.5643127527493;-58.435773242211;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;08:27:39;14;PALERMO;RAVIGNANI, EMILIO, DR.;1457;-34.5839630560806;-58.441838111151;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;22:33:01;14;PALERMO;GOROSTIAGA;2366;-34.5705695726695;-58.442489290194;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;15:56:26;14;PALERMO;NICARAGUA;5900;-34.5793989659284;-58.4364888253825;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;16:12:30;14;PALERMO;GUATEMALA;4188;-34.5894541773352;-58.4188973763937;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;15:44:27;14;PALERMO;EL SALVADOR;5755;-34.5820139987542;-58.4369477462847;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;18:11:28;14;PALERMO;SOLER;5851;-34.5788029407408;-58.4351219163485;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;15:19:21;14;PALERMO;CABRERA, JOSE A.;4480;-34.5937520376409;-58.427032794472;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;15:21:26;14;PALERMO;CABRERA, JOSE A.;4480;-34.5937520376409;-58.427032794472;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;18:53:11;14;PALERMO;LAVALLEJA;1300;-34.5948854298661;-58.4254685906774;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;23:18:47;14;PALERMO;ORTEGA Y GASSET;1700;-34.5691234655459;-58.4315426470159;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;01:53:44;14;PALERMO;HUMBOLDT;1550;-34.5860070030517;-58.4367800040194;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;01:57:45;14;PALERMO;CABRERA, JOSE A.;5600;-34.585841557198;-58.4380436941109;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;02:04:46;14;PALERMO;GORRITI;5800;-34.5834506426221;-58.4392399806005;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;16:45:48;14;PALERMO;PARAGUAY;5420;-34.5776956628307;-58.4331795495543;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;12:44:02;14;PALERMO;GORRITI;3758;-34.5955466213387;-58.4177856371739;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;17:17:15;14;PALERMO;VEGA, NICETO, CNEL. AV.;5822;-34.5851034078313;-58.4418149273222;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;10:55:30;6;CABALLITO;RAMOS MEJIA;985;-34.6045428365064;-58.433046081224;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;18:10:23;6;CABALLITO;BEAUCHEF;844;-34.6271959965799;-58.4324162937203;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;12:43:32;6;CABALLITO;MITRE, EMILIO;202;-34.6241117300285;-58.4433776105116;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;13:31:40;6;CABALLITO;MALVINAS ARGENTINAS;358;-34.6287588813169;-58.4500391316862;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;18:11:55;6;CABALLITO;BEAUCHEF;844;-34.6271959965799;-58.4324162937203;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;17:37:46;6;CABALLITO;GARCIA LORCA, FEDERICO;321;-34.618077242797;-58.445393320508;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;12:11:21;6;CABALLITO;ESPINOSA;1110;-34.610537745662;-58.4524600422134;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;17:46:30;6;CABALLITO;GARCIA LORCA, FEDERICO;321;-34.618077242797;-58.445393320508;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;11:38:20;3;BALVANERA;TUCUMAN;3144;-34.6007654830875;-58.4098152451099;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;18:08:21;3;BALVANERA;CORRIENTES AV.;2876;-34.604528638371;-58.4064111454249;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;15:22:43;3;BALVANERA;SARMIENTO;2977;-34.6066279723514;-58.4082579487415;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;08:55:52;3;BALVANERA;MEXICO;2630;-34.6168261533439;-58.403118687336;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;08:40:48;3;BALVANERA;TUCUMAN;3144;-34.6007654830875;-58.4098152451099;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;14:52:15;3;BALVANERA;PASO;485;-34.6035936822674;-58.4035859504963;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;07:26:29;3;BALVANERA;MEXICO;2630;-34.6168261533439;-58.403118687336;App Denuncia Vial;Masculino;Abierto;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;16:40:40;3;BALVANERA;SARMIENTO;2977;-34.6066279723514;-58.4082579487415;App Denuncia Vial;Masculino;Abierto;;
