categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;11:39:02;14;PALERMO;ACUÑA DE FIGUEROA, FRANCISCO;1240;-34.5973020742385;-58.4217558789037;GCS Web;Masculino;Cerrado;05/01/2021;23:36:02
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;18:59:57;13;BELGRANO;MENDOZA;2155;-34.5596504350393;-58.4551599496542;GCS Web;Femenino;Cerrado;06/01/2021;11:36:34
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;15:53:23;15;VILLA CRESPO;VIALE, LUIS;37;-34.6020557305414;-58.4437244893675;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;19:46:24;15;AGRONOMIA;SAN MARTIN AV.;5885;-34.5959983535642;-58.4990797577217;App BA 147;Masculino;Cerrado;19/01/2021;14:08:40
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;16:13:13;2;RECOLETA;AGUERO;1928;-34.5892664376511;-58.4040069804483;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;12:41:35;14;PALERMO;SANTA FE AV.;4602;-34.578661827562;-58.4254358889513;App BA 147;Masculino;Cerrado;06/01/2021;15:19:07
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;01/01/2021;00:33:01;5;ALMAGRO;BOCAYUVA, QUINTINO;550;-34.6184288430141;-58.4224647248646;App BA 147;Masculino;Cerrado;06/01/2021;11:28:57
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;DERRAME DE LÍQUIDOS PELIGROSOS / INDUSTRIALES;DENUNCIA;02/01/2021;12:42:11;9;MATADEROS;ARTIGAS MANUEL DE;6462;-34.6541321911724;-58.5073554573577;GCS Web;Femenino;Cerrado;18/01/2021;13:15:41
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;22:55:48;14;PALERMO;GURRUCHAGA;1824;-34.5878475451142;-58.4270204189893;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;12:33:16;14;PALERMO;CABRERA, JOSE A.;3877;-34.5964008335449;-58.4211537250475;App BA 147;Masculino;Cerrado;14/01/2021;14:10:25
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;02:57:00;14;PALERMO;ARAOZ;1422;-34.5925285202182;-58.4257972014451;App BA 147;Femenino;Cerrado;28/01/2021;11:14:58
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;01:20:11;12;COGHLAN;NAHUEL HUAPI;3977;-34.5649134547527;-58.4779324605652;GCS Web;Femenino;Cerrado;05/01/2021;23:38:32
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;23:38:03;14;PALERMO;COSTA RICA;4702;-34.5879518920388;-58.4274317967241;App BA 147;Femenino;Cerrado;06/01/2021;11:55:13
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;23:40:05;14;PALERMO;COSTA RICA;4722;-34.5878573825707;-58.4275736565687;App BA 147;Femenino;Cerrado;06/01/2021;12:09:03
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;MALOS OLORES / HUMOS / GASES TÓXICOS;DENUNCIA;02/01/2021;23:08:21;4;BARRACAS;LUJAN;2288;-34.6560908143186;-58.3766108157937;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;23:42:16;14;PALERMO;COSTA RICA;4766;-34.5876935809954;-58.4278192311255;App BA 147;Femenino;Cerrado;06/01/2021;12:10:13
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;23:00:41;14;PALERMO;COSTA RICA;4711;-34.5878701374216;-58.427365904336;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;02:04:33;14;PALERMO;COSTA RICA;4722;-34.5878573825707;-58.4275736565687;App BA 147;Femenino;Cerrado;06/01/2021;12:13:19
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;10:45:36;4;BOCA;ALVAR NUÑEZ;326;-34.644592596342;-58.3640024190984;App BA 147;Masculino;Cerrado;14/01/2021;12:36:33
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;DERRAME DE LÍQUIDOS PELIGROSOS / INDUSTRIALES;DENUNCIA;02/01/2021;11:44:09;7;FLORES;ALBERDI, JUAN BAUTISTA AV.;1799;-34.628482693141;-58.4539507393385;App BA 147;Masculino;Cerrado;06/01/2021;09:49:23
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;02/01/2021;09:38:42;15;PATERNAL;PUNTA ARENAS;2045;-34.604066122051;-58.4729143703151;GCS Web;Femenino;Cerrado;06/01/2021;14:32:25
RECICLADO Y PROTECCIÓN AMBIENTAL;EVALUACIÓN AMBIENTAL;CONSULTA TÉCNICA SOBRE TRAMITES DE INSCRIPCIÓN EN EL REGISTRO DE ACTIVIDADES CATALOGADAS COMO POTENCIALMENTE CONTAMINANTES POR RUIDOS Y VIBRACIONES (RAC);SOLICITUD;03/01/2021;18:43:58;12;SAAVEDRA;BALBIN, RICARDO, DR. AV.;4750;-34.5531269045718;-58.4982870503692;GCS Web;Masculino;Cerrado;05/01/2021;11:28:58
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;03/01/2021;16:46:21;14;PALERMO;GUATEMALA;4899;-34.5849050250776;-58.4261668869179;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;03/01/2021;02:30:19;14;PALERMO;DEL LIBERTADOR AV.;4101;-34.5694016385683;-58.4267744654045;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;03/01/2021;03:07:25;5;ALMAGRO;GOMEZ, VALENTIN;3793;-34.6045136079362;-58.4180001779282;App BA 147;Masculino;Cerrado;06/01/2021;10:11:54
